"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
797809,"March 18, 2017",Delaware,"Ocean View","36000 block of Pine Grove Ln",0,1,N/A
794788,"March 13, 2017",Delaware,Dover,"255 Webbs Ln.",0,0,N/A
793255,"March 12, 2017",Delaware,Wilmington,"1000 block of W. 7th St.",0,1,N/A
791511,"March 8, 2017",Delaware,Wilmington,"1000 block of N Lombard St",0,1,N/A
791515,"March 8, 2017",Delaware,Wilmington,"900 block of Marshall St",1,0,N/A
790132,"March 7, 2017",Delaware,Dover,"800 block of Bacon Ave",0,0,N/A
789337,"March 6, 2017",Delaware,Newark,"1913 Sheldon Dr",0,0,N/A
786956,"March 2, 2017",Delaware,Harbeson,"22000 block of Hurdle Ditch Rd",0,0,N/A
787185,"March 1, 2017",Delaware,Dover,"South Queen Street and Bank Lane",0,0,N/A
785476,"February 28, 2017",Delaware,Wilmington,"900 block of Vandever Avenue",0,1,N/A
786092,"February 28, 2017",Delaware,Dover,"820 Carvel Dr",1,0,N/A
782049,"February 23, 2017",Delaware,Wilmington,"600 block of E 23rd St",1,1,N/A
783405,"February 22, 2017",Delaware,Newark,"1000 block of S College Rd",0,0,N/A
779848,"February 21, 2017",Delaware,Wilmington,"2200 block of N Market St",2,0,N/A
779874,"February 20, 2017",Delaware,Wilmington,"800 block of Vandever Avenue",0,1,N/A
777947,"February 18, 2017",Delaware,Newark,"S College Ave and Christina Pkwy",0,0,N/A
779855,"February 18, 2017",Delaware,"New Castle","1500 block of Surry Ct",1,0,N/A
777624,"February 17, 2017",Delaware,"New Castle","700 block of Grantham Ln",0,1,N/A
1538245,"February 16, 2017",Delaware,Wilmington,"400 block of Delamore Pl",0,1,N/A
1538242,"February 16, 2017",Delaware,Wilmington,"942 Bennett St",0,1,N/A
777953,"February 16, 2017",Delaware,Wilmington,"900 block of Lombard",0,0,N/A
776160,"February 14, 2017",Delaware,Wilmington,"2000 block of Shallcross Avenue",0,0,N/A
774954,"February 13, 2017",Delaware,Wilmington,"2101 Prior Rd",0,0,N/A
774964,"February 12, 2017",Delaware,Wilmington,"400 block of W. 29th St",0,1,N/A
774030,"February 11, 2017",Delaware,Wilmington,"1100 block of B Street",0,1,N/A
774066,"February 10, 2017",Delaware,"New Castle","Fairhaven Court",0,0,N/A
772271,"February 10, 2017",Delaware,Dover,"Stevenson Dr",0,0,N/A
772276,"February 9, 2017",Delaware,Wilmington,"1000 block of W 3rd St",0,1,N/A
771092,"February 8, 2017",Delaware,"New Castle","100 block of Parma Ave",0,1,N/A
771085,"February 8, 2017",Delaware,Wilmington,"1700 block of Conrad Street",0,1,N/A
771083,"February 8, 2017",Delaware,Wilmington,"2400 block of N. Monroe St.",0,1,N/A
784933,"February 7, 2017",Delaware,Dover,"S New St",0,1,N/A
774948,"February 7, 2017",Delaware,"New Castle","Revelle and Deen streets",0,0,N/A
770313,"February 3, 2017",Delaware,Wilmington,"Lancaster Avenue and South Van Buren Street",0,0,N/A
767812,"February 3, 2017",Delaware,Greenwood,"Deep Grass Ln",0,0,N/A
767185,"February 3, 2017",Delaware,Wilmington,"S Van Buren St and Beech St",0,1,N/A
767183,"January 31, 2017",Delaware,Milford,"N Rehoboth Rd",0,0,N/A
764910,"January 31, 2017",Delaware,Selbyville,"31000 block of Lighthouse Rd",0,0,N/A
764469,"January 30, 2017",Delaware,Wilmington,"1200 block of Oak St",0,1,N/A
765159,"January 30, 2017",Delaware,Wilmington,"3rd and Washington streets",0,1,N/A
763483,"January 29, 2017",Delaware,Wilmington,"2900 block of N. Claymont St.",0,1,N/A
763107,"January 29, 2017",Delaware,Wilmington,"300 block of East 5th Street",0,1,N/A
762863,"January 29, 2017",Delaware,Laurel,"56 Sunset Dr",1,0,N/A
762758,"January 29, 2017",Delaware,Wilmington,"13th St and French St",0,1,N/A
762736,"January 27, 2017",Delaware,Wilmington,"9th St and N Pine St",0,1,N/A
762752,"January 27, 2017",Delaware,Laurel,"Laurel Rd and Shiloh Church Rd",0,0,N/A
761825,"January 27, 2017",Delaware,"New Castle","Booker Circle",0,1,N/A
760722,"January 26, 2017",Delaware,Dover,"700 block of S State St",0,0,N/A
1131906,"January 26, 2017",Delaware,Newark,"700 block of Vinings Way",1,0,N/A
760718,"January 25, 2017",Delaware,Dover,"300 block of Fulton Street",0,0,N/A
761612,"January 24, 2017",Delaware,Newark,"Prospect Ave",0,1,N/A
759893,"January 24, 2017",Delaware,Wilmington,"200 block of N Market St",0,2,N/A
760129,"January 23, 2017",Delaware,Claymont,"Naamans Road",0,0,N/A
758480,"January 23, 2017",Delaware,Wilmington,"1700 block of W 13th St",1,0,N/A
757386,"January 22, 2017",Delaware,Newark,"700 Prides Crossing",0,0,N/A
758270,"January 22, 2017",Delaware,Wilmington,"2300 block of N. Pine St",1,0,N/A
759226,"January 22, 2017",Delaware,"New Castle","100 block of Wimbledon Court",0,0,N/A
757946,"January 21, 2017",Delaware,Harrington,"4000 block of Cattail Branch Rd",0,0,N/A
756261,"January 20, 2017",Delaware,Wilmington,"200 block of S Harrison St",1,1,N/A
756252,"January 19, 2017",Delaware,Dover,"Loockerman and Queen Streets",0,0,N/A
755421,"January 18, 2017",Delaware,Wilmington,"S Market St",0,0,N/A
755781,"January 17, 2017",Delaware,Wilmington,"South Heald Street and A Street",0,1,N/A
753081,"January 17, 2017",Delaware,Wilmington,"7th and Market streets",1,0,N/A
755775,"January 17, 2017",Delaware,Wilmington,"200 block of N Rodney St",0,1,N/A
753084,"January 16, 2017",Delaware,Greenwood,"Unity Ln",0,1,N/A
1538240,"January 16, 2017",Delaware,Wilmington,"E 22nd St and N Spruce St",0,1,N/A
751257,"January 15, 2017",Delaware,Wilmington,"2200 block of N Church St",0,1,N/A
751222,"January 15, 2017",Delaware,Wilmington,"1400 block of Northeast Blvd",0,1,N/A
750823,"January 14, 2017",Delaware,Wilmington,"2200 block of Lamotte St",1,0,N/A
760324,"January 13, 2017",Delaware,"Rehoboth Beach","1900 block of Duffy St",0,1,N/A
747867,"January 11, 2017",Delaware,Wilmington,"100 block of E 14th St",1,0,N/A
748642,"January 11, 2017",Delaware,Wilmington,"300 block of S. Jackson St.",0,3,N/A
747875,"January 10, 2017",Delaware,Dover,"120 Haman Dr",1,0,N/A
747170,"January 9, 2017",Delaware,Wilmington,"101 N Clayton St",1,0,N/A
747177,"January 8, 2017",Delaware,Wilmington,"200 block of Porter St",1,0,N/A
743757,"January 3, 2017",Delaware,Dover,"S. Queen St.",0,0,N/A
742572,"January 3, 2017",Delaware,Wilmington,"7th Street and North Jackson Street",0,1,N/A
741648,"January 1, 2017",Delaware,Harrington,"301 Dorman St",0,1,N/A
737847,"December 30, 2016",Delaware,Magnolia,"Flint Dr",0,1,N/A
1060765,"December 29, 2016",Delaware,Dover,"W North Street and Saulsbury Rd",0,0,N/A
737837,"December 29, 2016",Delaware,"Seaford (Blades)","West 2nd St",0,0,N/A
736908,"December 28, 2016",Delaware,Wilmington,"100 block of S Jackson St",0,1,N/A
736910,"December 27, 2016",Delaware,Wilmington,"300 block of 9th Street",0,1,N/A
735846,"December 27, 2016",Delaware,Laurel,"1000 block of Hollybrook Apartments",0,0,N/A
733453,"December 23, 2016",Delaware,Dover,"Collins Drive",0,2,N/A
730679,"December 20, 2016",Delaware,Wilmington,"1000 block of Linda Rd",1,0,N/A
729961,"December 18, 2016",Delaware,Milford,"Southwest Front Street",0,0,N/A
724865,"December 13, 2016",Delaware,Wilmington,"200 block of W. 30th Street",0,0,N/A
726392,"December 13, 2016",Delaware,Dover,"400 block of New Castle Avenue",0,0,N/A
725882,"December 12, 2016",Delaware,Dover,"1400 block of South Farmview",0,1,N/A
723549,"December 10, 2016",Delaware,Dover,"100 block of South New Street",0,2,N/A
722345,"December 8, 2016",Delaware,Wilmington,"W. Fifth and N. Scott streets",0,1,N/A
720529,"December 6, 2016",Delaware,Dover,"400 block of Aspen Drive",1,0,N/A
719768,"December 5, 2016",Delaware,Wilmington,"22nd Street and Pine Street",0,1,N/A
719761,"December 4, 2016",Delaware,Bear,"100 block of Garwood Drive",0,1,N/A
717114,"December 1, 2016",Delaware,Wilmington,"2900 block of Baynard Blvd",0,1,N/A
715258,"November 30, 2016",Delaware,"New Castle","Howell Drive and Daniel Lane",0,1,N/A
717109,"November 30, 2016",Delaware,"New Castle","Deen and Pell Street",0,0,N/A
714336,"November 28, 2016",Delaware,Millsboro,"25935 Plaza Drive",0,0,N/A
714170,"November 28, 2016",Delaware,Dover,"South New Street",0,0,N/A
713618,"November 28, 2016",Delaware,Wilmington,"22nd and Jefferson streets",1,0,N/A
712811,"November 28, 2016",Delaware,Wilmington,"West 27th and North Van Buren streets",0,1,N/A
717116,"November 27, 2016",Delaware,"Dover (Leipsic)","Walnut Street",0,0,N/A
711670,"November 25, 2016",Delaware,Wilmington,"Seventh and Washington",0,0,N/A
709617,"November 24, 2016",Delaware,Wilmington,"North Van Buren Street",0,1,N/A
709141,"November 23, 2016",Delaware,Newark,"100 block of South Patrice Drive",0,2,N/A
709139,"November 23, 2016",Delaware,Dover,"30 South New Street",0,0,N/A
707305,"November 21, 2016",Delaware,Dover,"300 block of Martin St",0,0,N/A
705687,"November 19, 2016",Delaware,Wilmington,"800 block of Morrow St.",1,0,N/A
705053,"November 18, 2016",Delaware,Wilmington,"Cedar Ave and Maryland Avenue",0,2,N/A
703122,"November 16, 2016",Delaware,Millsboro,"W Monroe St and Houston St",1,0,N/A
702539,"November 16, 2016",Delaware,Wilmington,"Linden and S. Van Buren",0,1,N/A
700986,"November 14, 2016",Delaware,Wilmington,"8th and N. Madison streets",0,1,N/A
699363,"November 11, 2016",Delaware,Dover,"1st block of S. New Street",0,0,N/A
698615,"November 9, 2016",Delaware,Bridgeville,"2000 block of Windy Lane",0,0,N/A
696569,"November 8, 2016",Delaware,Claymont,"200 block of Dewey Court",1,0,N/A
697136,"November 8, 2016",Delaware,Dover,"South New and Reed streets",0,0,N/A
697132,"November 7, 2016",Delaware,Wilmington,"2152 Melson Rd",0,0,N/A
694687,"November 6, 2016",Delaware,Bear,"US 40 and Brookmont Dr",0,0,N/A
694259,"November 6, 2016",Delaware,Newark,"100 block of Flamingo Dr",0,1,N/A
697145,"November 5, 2016",Delaware,Seaford,"100 block of Woodland Mills",0,0,N/A
697751,"November 3, 2016",Delaware,Dover,"Kenton Road and College Road",0,0,N/A
697748,"November 3, 2016",Delaware,Dover,"Cooper Road",0,0,N/A
692082,"November 3, 2016",Delaware,Wilmington,"409 W 25th St",0,1,N/A
692556,"November 3, 2016",Delaware,Wilmington,"600 block of N. Madison St",0,0,N/A
693267,"November 2, 2016",Delaware,Wilmington,"1000 block of N. Church Street",0,0,N/A
692319,"November 2, 2016",Delaware,Wilmington,"1200 block of Lancaster Ave",0,1,N/A
692092,"November 2, 2016",Delaware,Wilmington,"1300 block of Chestnut St",0,1,N/A
692090,"November 2, 2016",Delaware,Wilmington,"1300 block of Chestnut St",0,1,N/A
691326,"November 1, 2016",Delaware,Wilmington,"200 block of E. 24th St.",1,0,N/A
690282,"October 31, 2016",Delaware,"New Castle","Revelle Street and Baylis Street",0,1,N/A
686274,"October 26, 2016",Delaware,Wilmington,"500 block of W. 25th St",0,2,N/A
684541,"October 25, 2016",Delaware,Dover,"400 block of New Castle Ave",0,1,N/A
685121,"October 25, 2016",Delaware,Middletown,"500 block of New Street",0,1,N/A
683784,"October 24, 2016",Delaware,Dover,"500 block of River Road",1,0,N/A
683027,"October 24, 2016",Delaware,Newark,"100 Christiana Mall Road",0,0,N/A
683023,"October 23, 2016",Delaware,"Wilmington (Newport)","500 block of Jackson Ave",0,1,N/A
680304,"October 20, 2016",Delaware,Wilmington,"Fourth and North Madison streets",0,1,N/A
681681,"October 20, 2016",Delaware,"New Castle","50 block of Highland Blvd",0,1,N/A
681690,"October 20, 2016",Delaware,Wilmington,"1600 block of West 3rd Street",0,0,N/A
681688,"October 20, 2016",Delaware,Milton,"West Springside Drive",0,1,N/A
679897,"October 19, 2016",Delaware,Wilmington,"2600 block of N. West St",0,1,N/A
680310,"October 18, 2016",Delaware,Wilmington,"499 Bethune Dr",0,1,N/A
679038,"October 17, 2016",Delaware,Wilmington,"1000 block of Clayton Road",0,0,N/A
679044,"October 16, 2016",Delaware,Dover,"1400 block of Forrest Ave",0,1,N/A
679042,"October 16, 2016",Delaware,Wilmington,"1500 block of W. Fourth St",0,0,N/A
677268,"October 15, 2016",Delaware,"Rehoboth Beach","Wolfe Neck Road",0,1,N/A
677749,"October 14, 2016",Delaware,Wilmington,"W. Third St. and N. Clayton St.",0,1,N/A
674414,"October 11, 2016",Delaware,Wilmington,"3100 block of N. Harrison St.",0,1,N/A
673762,"October 10, 2016",Delaware,Wilmington,"W 9th St and N West St",0,1,N/A
673765,"October 10, 2016",Delaware,Dover,"100 block of W. Loockerman St",0,0,N/A
672889,"October 9, 2016",Delaware,Wilmington,"W 22nd St",0,1,N/A
672887,"October 8, 2016",Delaware,Felton,"Walnut Shade Rd and S DuPont Hwy",0,0,N/A
673757,"October 8, 2016",Delaware,"Wilmington (Stanton)","500 block of Sixth Ave",0,0,N/A
670047,"October 4, 2016",Delaware,Harbeson,"25000 block of Hollis Road",0,0,N/A
669393,"October 3, 2016",Delaware,Newark,"20 block of Gogh Cir",0,1,N/A
668667,"October 3, 2016",Delaware,Wilmington,"700 block of E. 10th St",0,1,N/A
669015,"October 3, 2016",Delaware,Newark,"Gogh Circle and Ruebens Circle",0,1,N/A
668615,"October 2, 2016",Delaware,Wilmington,"1200 block of Elm Street",0,0,N/A
668609,"October 2, 2016",Delaware,"New Castle","100 block of Jillian's Way",0,1,N/A
668624,"September 30, 2016",Delaware,Newark,"300 block of Auckland Drive",0,1,N/A
665049,"September 27, 2016",Delaware,Dover,"Leipsic Road",0,0,N/A
662956,"September 24, 2016",Delaware,Bear,"U.S. 40",0,0,N/A
659412,"September 20, 2016",Delaware,Wilmington,"1500 block of West 3rd Street",0,1,N/A
660092,"September 20, 2016",Delaware,Wilmington,"200 block of East 14th Street",0,1,N/A
657805,"September 18, 2016",Delaware,Wilmington,"200 block of W 20th St",1,1,N/A
657958,"September 16, 2016",Delaware,Wilmington,"2700 block of West St.",0,2,N/A
657517,"September 16, 2016",Delaware,Wilmington,"900 block of N Pine St",0,0,N/A
657502,"September 15, 2016",Delaware,Dover,"1700 N Dupont Hwy",0,0,N/A
655198,"September 14, 2016",Delaware,Wilmington,"2600 block of North Market Street",0,1,N/A
656351,"September 14, 2016",Delaware,Millsboro,"20000 block of Miller Drive",0,1,N/A
654286,"September 11, 2016",Delaware,"New Castle","100 block of N.Dupont Highway",0,0,N/A
652981,"September 11, 2016",Delaware,"New Castle","500 block of S. DuPont Highway",0,1,N/A
652983,"September 10, 2016",Delaware,"New Castle","DE-273 and Airport Rd",0,1,N/A
650907,"September 8, 2016",Delaware,"New Castle","50 block of Morris Rd",0,1,N/A
649012,"September 5, 2016",Delaware,"New Castle","300 block of Wildel Ave",0,1,N/A
647723,"September 3, 2016",Delaware,Wilmington,"200 block of N. Franklin St.",0,1,N/A
647716,"September 3, 2016",Delaware,Wilmington,"50 block of W 27th St",0,1,N/A
647711,"September 3, 2016",Delaware,"New Castle",N/A,0,1,N/A
646713,"September 1, 2016",Delaware,Wilmington,"300 block of W. 24th Street",0,1,N/A
645022,"September 1, 2016",Delaware,Wilmington,"West 27th Street",0,3,N/A
646127,"August 31, 2016",Delaware,Dover,"River Road and Water Street",0,0,N/A
647726,"August 30, 2016",Delaware,Wilmington,"10th and Spruce streets",0,0,N/A
642964,"August 29, 2016",Delaware,Wilmington,"500 block of W Sixth St",0,1,N/A
640343,"August 26, 2016",Delaware,Wilmington,"Lea Blvd and N Market St",0,1,N/A
639517,"August 25, 2016",Delaware,Wilmington,"700  S. Vanburen Street",0,1,N/A
637934,"August 23, 2016",Delaware,Wilmington,"27th and N. Tatnall streets",0,1,N/A
636999,"August 22, 2016",Delaware,Wilmington,"500 block of W. 31st St",0,1,N/A
635091,"August 21, 2016",Delaware,Wilmington,"1200 block of Elm St.",0,1,N/A
636757,"August 21, 2016",Delaware,Dover,"300 block of Charring Cross Rd",0,0,N/A
633849,"August 18, 2016",Delaware,Dover,"100 block of South Queen Street",1,0,N/A
632869,"August 17, 2016",Delaware,Wilmington,"31st and North West streets",0,1,N/A
632871,"August 16, 2016",Delaware,Dover,"River Road and New Castle Avenue",0,0,N/A
630459,"August 15, 2016",Delaware,Wilmington,"3800 block of N. Market St.",0,0,N/A
630456,"August 15, 2016",Delaware,Wilmington,"600 block of W. Sixth St.",0,1,N/A
631476,"August 15, 2016",Delaware,"New Castle","700 block of Center St",0,0,N/A
629733,"August 14, 2016",Delaware,Wilmington,"500 block of W. 38th Street",0,1,N/A
630463,"August 13, 2016",Delaware,Dover,"200 block of Bradley Road",0,0,N/A
629393,"August 13, 2016",Delaware,Wilmington,"1600 block of West Third Street",0,1,N/A
629164,"August 13, 2016",Delaware,"New Castle","44 Birkshire Rd",0,1,N/A
629090,"August 13, 2016",Delaware,Lincoln,"10000 block of Crescent Shores Drive",0,1,N/A
626478,"August 10, 2016",Delaware,"Wilmington (Elsmere)","131 Scarborough Park",0,1,N/A
623234,"August 6, 2016",Delaware,Dover,"100 block of Holmes Street",0,1,N/A
623513,"August 6, 2016",Delaware,Wilmington,"Burnside Blvd and Newport Gap Pk",0,1,N/A
624714,"August 4, 2016",Delaware,Wilmington,"300 block of  E. 23rd St.",0,0,N/A
621571,"August 3, 2016",Delaware,Dover,"100 block of Madison Court",0,0,N/A
620582,"August 2, 2016",Delaware,Wilmington,"9th and Spruce streets",0,1,N/A
618053,"July 31, 2016",Delaware,Wilmington,"2600 block of N. Market Street",0,1,N/A
618821,"July 31, 2016",Delaware,Wilmington,"400 block of Concord Ave",0,1,N/A
616180,"July 29, 2016",Delaware,Dover,"Stevenson Drive",0,0,N/A
615416,"July 27, 2016",Delaware,Wilmington,"100 block of E. 27th St",0,1,N/A
612770,"July 24, 2016",Delaware,Dover,"51 Webbs Lane",0,0,N/A
610490,"July 23, 2016",Delaware,Wilmington,"1300 West 5th Street",0,1,N/A
611552,"July 23, 2016",Delaware,Wilmington,"3500 block of N. Church St.",0,1,N/A
610513,"July 22, 2016",Delaware,Wilmington,"4021 Kennett Pike",0,0,N/A
606949,"July 18, 2016",Delaware,"New Castle","260 Christiana Road",2,0,N/A
606626,"July 18, 2016",Delaware,Wilmington,"Third Street",1,0,N/A
616174,"July 18, 2016",Delaware,Milford,"Big Stone Beach Road",0,0,N/A
606945,"July 18, 2016",Delaware,Wilmington,"700 block of E 11th St",1,0,N/A
605400,"July 15, 2016",Delaware,Harrington,"Milford Harrington Highway",0,0,N/A
603328,"July 13, 2016",Delaware,Newark,"1300 block of Greentree Rd",0,2,N/A
601519,"July 12, 2016",Delaware,Wilmington,"200 block of W. 23rd St.",0,2,N/A
601526,"July 9, 2016",Delaware,Newark,"First block of Baywatch Road",0,0,N/A
599765,"July 9, 2016",Delaware,Wilmington,"West Fourth and North Jefferson Streets",0,1,N/A
598995,"July 9, 2016",Delaware,"New Castle","600 block of Country Path Dr",1,0,N/A
598988,"July 8, 2016",Delaware,Wilmington,"600 block of W. Sixth St",0,2,N/A
602620,"July 8, 2016",Delaware,Wilmington,N/A,0,2,N/A
597490,"July 6, 2016",Delaware,Bear,"700 block of Red Clay Drive",0,1,N/A
595792,"July 5, 2016",Delaware,Dover,"200 block of Stardust Drive",0,1,N/A
596804,"July 5, 2016",Delaware,Newark,"Raven Turn",0,1,N/A
595796,"July 4, 2016",Delaware,Wilmington,"Sherman Street and Clifford Brown Walk",0,1,N/A
594974,"July 3, 2016",Delaware,Wilmington,"East 10th and Spruce streets",0,1,N/A
594152,"July 2, 2016",Delaware,Wilmington,"300 block of North Lincoln Street",0,1,N/A
594475,"July 2, 2016",Delaware,Wilmington,"221 Chestnut Avenue",2,0,N/A
595786,"July 1, 2016",Delaware,Wilmington,"300 block of E. 5th St.",0,0,N/A
594150,"July 1, 2016",Delaware,Smyrna,"Providence Drive",0,0,N/A
590815,"June 28, 2016",Delaware,Wilmington,"800 block of N. Adams St.",0,1,N/A
589808,"June 27, 2016",Delaware,Newark,"400 block of N Barrett Ln",0,0,N/A
590820,"June 27, 2016",Delaware,Wilmington,"1300 block of N. Walnut St",0,1,N/A
590887,"June 27, 2016",Delaware,Frederica,"S DE-1",1,0,N/A
589790,"June 26, 2016",Delaware,Wilmington,"27th and Moore streets",0,1,N/A
589797,"June 26, 2016",Delaware,Wilmington,"900 block of N Spruce St",1,0,N/A
588086,"June 24, 2016",Delaware,Newark,"2102 Ashkirk Drive",1,0,N/A
586092,"June 22, 2016",Delaware,Wilmington,"Northeast Boulevard and East 30th Street",0,1,N/A
583267,"June 18, 2016",Delaware,Wilmington,"900 block of North Pine Street",1,0,N/A
580848,"June 14, 2016",Delaware,Wilmington,"South Van Buren and Elm streets",0,4,N/A
580558,"June 14, 2016",Delaware,Felton,"50 block of Weatherstone Ln",0,1,N/A
580561,"June 13, 2016",Delaware,Wilmington,"200 block of South Harrison",0,1,N/A
579394,"June 12, 2016",Delaware,Newark,"700 block of Vining's Way",0,2,N/A
579044,"June 11, 2016",Delaware,Wilmington,"1200 block of East 22nd Street",0,1,N/A
576986,"June 10, 2016",Delaware,Wilmington,"1200 block of Oak Street",0,1,N/A
579042,"June 10, 2016",Delaware,Seaford,"Coverdale Road",0,0,N/A
574437,"June 7, 2016",Delaware,Wilmington,"50 block of Jensen Dr",1,0,N/A
574440,"June 6, 2016",Delaware,Wilmington,"800 block of Kirkwood Street",0,1,N/A
573549,"June 5, 2016",Delaware,Wilmington,"Concord Avenue and North Washington Street",0,1,N/A
573554,"June 3, 2016",Delaware,Wilmington,"900 block of Martin Luther King Boulevard",0,0,N/A
570753,"June 2, 2016",Delaware,Wilmington,"Maryland Avenue and Robinson Lane",0,1,N/A
570745,"June 2, 2016",Delaware,Wilmington,"700 block of S. Van Buren St",0,1,N/A
570762,"June 1, 2016",Delaware,Dover,"1000 block of S. Bradford St",0,0,N/A
570770,"May 31, 2016",Delaware,Dover,"1300 block of S. Farmview Drive",0,0,N/A
